name,category,address,hours,rating,price,avg_bill,middle_avg_bill,middle_coffee_cup,chain,seats,city,avg_bill_from,avg_bill_to
new normal,кофейня,улица черняховского 19,"пн-пт 08:00–21:00; сб,вс 09:00–21:00",9.4,,,,,0,,Москва,,-1.0
wakecup coffee,кофейня,улица нижняя масловка 5к1,"пн-пт 07:30–20:00; сб,вс 09:00–19:00",8.6,низкие,цена чашки капучино:89–229 ₽,,159.0,0,,Москва,89.0,229.0
ресторан proftesto,ресторан,улица сущёвский вал 43,"ежедневно,11:00–00:00",9.0,выше среднего,средний счёт:1200–2000 ₽,1600.0,,0,80.0,Москва,1200.0,2000.0
чинар,кафе,1-я квесисская улица 18,"ежедневно,09:00–23:00",8.2,средние,средний счёт:400–500 ₽,450.0,,0,24.0,Москва,400.0,500.0
paul,булочная,лесная улица 7,"пн-пт 08:00–22:00; сб,вс 09:00–22:00",8.8,выше среднего,средний счёт:1000–1500 ₽,1250.0,,1,120.0,Москва,1000.0,1500.0
плов хаус исфара,кафе,складочная улица 1 стр. 39,"ежедневно,круглосуточно",8.6,,,,,0,45.0,Москва,,-1.0
lusy's pizza,пиццерия,новодмитровская улица 1 стр. 12,"пн-чт 12:00–22:00; пт,сб 12:00–23:00; вс 12:00–22:00",9.0,,,,,0,15.0,Москва,,-1.0
pho ly quoc su,быстрое питание,сущёвская улица 19 стр. 4,"ежедневно,10:00–22:00",9.4,средние,средний счёт:700–1000 ₽,850.0,,0,48.0,Москва,700.0,1000.0
триумф,ресторан,новослободская улица 54/56,"пн-пт 11:00–00:00; сб,вс 11:30–00:00",8.6,средние,средний счёт:750–1000 ₽,875.0,,0,48.0,Москва,750.0,1000.0
кофепорт,кофейня,новодмитровская улица 2 корп. 2,пн-пт 08:00–18:30,8.6,низкие,цена чашки капучино:90–100 ₽,,95.0,1,44.0,Москва,90.0,100.0
мир шашлыка,быстрое питание,вятская улица 41г,"ежедневно,08:00–20:00",6.8,низкие,средний счёт:от 200 ₽,200.0,,0,24.0,Москва,200.0,-1.0
lavanda,кофейня,2-я квесисская улица 25,"пн-пт 08:00–22:00; сб,вс 09:00–22:00",8.6,,,,,0,,Москва,,-1.0
louis fusion,кофейня,новодмитровская улица 2 корп. 7,"ежедневно,10:00–23:00",8.2,выше среднего,,,,0,,Москва,,-1.0
батони,ресторан,новослободская улица 18,"ежедневно,11:30–00:00",8.6,,,,,1,307.0,Москва,,-1.0
джонджоли,ресторан,ленинградский проспект 62а,"ежедневно,круглосуточно",8.8,средние,средний счёт:700–1300 ₽,1000.0,,1,138.0,Москва,700.0,1300.0
coffeeтут,кофейня,мишина улица 38,"пн-пт 08:00–20:00; сб,вс 10:00–20:00",8.2,,,,,0,,Москва,,-1.0
ya-cafe,кофейня,новодмитровская улица 2 корп. 1,пн-пт 09:00–18:00,8.2,,,,,0,80.0,Москва,,-1.0
моремания,ресторан,сущёвская улица 27 стр. 1,"ежедневно,10:00–22:00",9.0,,,,,0,70.0,Москва,,-1.0
ванильное небо,кофейня,улица бутырский вал 68/70с1,пн-пт 08:00–20:00,8.6,,,,,0,,Москва,,-1.0
шпинат,кафе,новодмитровская улица 5а стр. 2,"ежедневно,08:00–22:00",8.2,,,,,0,44.0,Москва,,-1.0
кофемания,кофейня,ленинградский проспект 37а корп. 14 стр. 6,"ежедневно,круглосуточно",9.4,,,,,1,15.0,Москва,,-1.0
романо,ресторан,улица правды 3/1,"ежедневно,10:00–23:00",8.6,,,,,0,50.0,Москва,,-1.0
