,name,category,address,hours,rating,avg_bill,middle_coffee_cup
567,Хотэи,ресторан,"Екатеринбург, Добавить отзыв",Пн–Вс: 10:00 — 22:00,0.0,Средний чек 700 р. без напитков,
568,Сушкоф,ресторан,"Екатеринбург, Добавить отзыв",Пн–Вс: 12:00 — 00:00,0.0,Средний чек 700 р. без напитков,
569,Суши Мореман,ресторан,"Екатеринбург, Добавить отзыв",Пн–Вс: 11:00 — 01:00,0.0,Средний чек 800 р. без напитков,
570,Суши мастер,ресторан,"Екатеринбург, Добавить отзыв",Пн–Вс: 10:00 — 23:00,0.0,Средний чек 700 р. без напитков,
571,Сойка,ресторан,"Екатеринбург, ул. 8 Марта 6","Пн–Чт: 12:00 — 00:00, Пт–Сб: 12:00 — 02:00, Вс: 12:00 — 00:00",8.5,Средний чек 1500 р. без напитков,
572,Своя Компания,ресторан,"Екатеринбург, проспект Ленина 49","Пн–Чт: 12:00 — 23:00, Пт: 12:00 — 00:00, Сб–Вс: 12:00 — 23:00",8.4,Средний чек 1000 р. без напитков,
573,Рататуй,ресторан,"Екатеринбург, Уральских рабочих 54","Пн–Чт: 12:00 — 23:00, Пт–Сб: 12:00 — 00:00, Вс: 12:00 — 23:00",8.9,Средний чек 1000 р. без напитков,
574,BigRoll (БигРолл),ресторан,"Екатеринбург, Фурманова 66","Пн–Чт: 10:00 — 00:00, Пт–Сб: 10:00 — 02:00, Вс: 10:00 — 00:00",10.0,Средний чек 500 р. без напитков,
575,Edo,ресторан,"Екатеринбург, Добавить отзыв",Пн–Вс: 10:00 — 23:00,0.0,Средний чек 700 р. без напитков,
576,Crazy Brothers,ресторан,"Екатеринбург, Добавить отзыв",Пн–Вс: 10:00 — 22:00,0.0,Средний чек 1000 р. без напитков,
577,Crout'On,ресторан,"Екатеринбург, Добавить отзыв","Пн–Сб: 10:00 — 02:00, Вс: 10:00 — 00:00",0.0,Средний чек 500 р. без напитков,
578,Мама restaurant,ресторан,"Екатеринбург, Добавить отзыв","Пн–Чт: 11:00 — 00:00, Пт–Сб: 11:00 — 02:00, Вс: 11:00 — 00:00",0.0,Средний чек 1200 р. без напитков,
579,Нравы,ресторан,"Екатеринбург, Добавить отзыв",,0.0,Средний чек 1000 р. без напитков,
580,Суши-маркет,ресторан,"Екатеринбург, Добавить отзыв",Пн–Вс: 10:00 — 22:00,0.0,Средний чек 1000 р. без напитков,
581,Сушкоф,ресторан,"Екатеринбург, Добавить отзыв",Пн–Вс: 11:00 — 23:00,0.0,Средний чек 700 р. без напитков,
582,Руки ВВерх!,"бар, паб","Екатеринбург, ул. Радищева 25",Пн–Вс: 18:00 — 06:00,10.0,Средний чек 1600 р. без напитков,
583,Винный бар Соловьева,"бар, паб","Екатеринбург, Добавить отзыв",Пн–Вс: 00:00 — 23:59,0.0,Средний чек 1000 р. без напитков,
584,Fireside,"бар, паб","Екатеринбург, ул. Бориса Ельцина 8","Пн–Вт: Выходной, Ср–Чт: 20:00 — 03:00, Пт–Сб: 21:00 — 05:00, Вс: Выходной",10.0,Средний чек 2000 р. без напитков,
585,Bla Bla Bar,"бар, паб","Екатеринбург, ул. Добролюбова 3","Пн–Чт: 12:00 — 02:00, Пт–Сб: 14:00 — 06:00, Вс: 12:00 — 02:00",6.0,Средний чек 1200 р. без напитков,
586,Тот самый,"бар, паб","Екатеринбург, Добавить отзыв",Пн–Вс: 12:00 — 01:00,0.0,Средний чек 800 р. без напитков,
587,Телевизор,"бар, паб","Екатеринбург, Радищева 4","Пн–Чт: 17:00 — 02:00, Пт–Сб: 17:00 — 04:00, Вс: 17:00 — 02:00",8.3,Средний чек 500 р. без напитков,
588,Стрелка,"бар, паб","Екатеринбург, ул. 8 марта 18","Пн–Чт: 17:00 — 23:00, Пт–Сб: 17:00 — 02:00, Вс: 17:00 — 23:00",9.0,Средний чек 750 р. без напитков,
589,Сплетни,"бар, паб","Екатеринбург, Куйбышева 61","Пн–Чт: 17:00 — 01:00, Пт–Сб: 17:00 — 04:00, Вс: 17:00 — 01:00",8.9,Средний чек 1000 р. без напитков,
590,Свой Бар,"бар, паб","Екатеринбург, Вайнера 60","Пн–Чт: 17:00 — 02:00, Пт–Сб: 17:00 — 04:00, Вс: 17:00 — 02:00",7.2,Средний чек 500 р. без напитков,
591,Самоцвет,"бар, паб","Екатеринбург, ул. Малышева 29а","Пн–Чт: 17:00 — 02:00, Пт–Сб: 17:00 — 06:00, Вс: 17:00 — 02:00",8.4,Средний чек 800 р. без напитков,
592,Опыт,"бар, паб","Екатеринбург, ул. Первомайская 11В","Пн–Чт: 16:00 — 00:00, Пт–Сб: 16:00 — 04:00, Вс: 16:00 — 00:00",9.7,Средний чек 800 р. без напитков,
593,Нельсон Совин,"бар, паб","Екатеринбург, ул. Малышева 21/4","Пн–Чт: 16:00 — 00:00, Пт: 16:00 — 02:00, Сб: 15:00 — 02:00, Вс: 15:00 — 00:00",8.1,Средний чек 800 р. без напитков,
594,В Мясо Bar,"бар, паб","Екатеринбург, Добавить отзыв",Пн–Вс: 16:00 — 04:00,0.0,Средний чек 700 р. без напитков,
595,Old Deer,"бар, паб","Екатеринбург, Добавить отзыв","Пн–Чт: 16:00 — 00:00, Пт–Сб: 14:00 — 02:00, Вс: 14:00 — 00:00",0.0,Средний чек 500 р. без напитков,
596,Мой Бар,"бар, паб","Екатеринбург, Вильгельма де Геннина 47","Пн–Чт: 12:00 — 00:00, Пт–Сб: 12:00 — 02:00, Вс: 12:00 — 00:00",8.6,Средний чек 700 р. без напитков,
597,Медный грош,"бар, паб","Екатеринбург, Добавить отзыв","Пн–Пт: 12:00 — 00:00, Сб–Вс: 15:00 — 00:00",0.0,Средний чек 1000 р. без напитков,
598,Мам я в хлам,"бар, паб","Екатеринбург, ул. Малышева 29","Пн–Чт: 12:00 — 00:00, Пт–Сб: 12:00 — 02:00, Вс: 12:00 — 00:00",2.0,Средний чек 500 р. без напитков,
599,Ля Мажор,"бар, паб","Екатеринбург, Хохрякова 72",Пн–Вс: 18:00 — 06:00,1.3,Средний чек 1500 р. без напитков,
600,Конкиста,"бар, паб","Екатеринбург, Добавить отзыв",Пн–Вс: 12:00 — 00:00,0.0,Средний чек 1500 р. без напитков,
601,Коматек,"бар, паб","Екатеринбург, Добавить отзыв",Пн–Вс: 09:00 — 00:00,0.0,Средний чек 300 р. без напитков,
602,Коллектив,"бар, паб","Екатеринбург, ул. 8 Марта 8Г","Пн–Чт: 18:00 — 02:00, Пт–Сб: 18:00 — 04:00, Вс: 18:00 — 02:00",9.2,Средний чек 700 р. без напитков,
603,T Lounge,"бар, паб","Екатеринбург, Добавить отзыв",Пн–Вс: 00:00 — 23:59,0.0,Средний чек 1200 р. без напитков,
604,Rudolph's Bar,"бар, паб","Екатеринбург, ул. Малышева 71","Пн: Выходной, Вт: 18:00 — 00:00, Ср: Выходной, Чт: 18:00 — 00:00, Пт–Сб: 18:00 — 02:00, Вс: Выходной",10.0,Средний чек 1700 р. без напитков,
605,Right Hops,"бар, паб","Екатеринбург, Добавить отзыв",Пн–Вс: 12:00 — 22:00,0.0,Средний чек 700 р. без напитков,
606,Haze Bar,"бар, паб","Екатеринбург, ул. Бажова 193","Пн–Чт: 11:00 — 02:00, Пт: 11:00 — 04:00, Сб: 14:00 — 04:00, Вс: 14:00 — 02:00",9.8,Средний чек 1200 р. без напитков,
607,Пара пива & беляш,"бар, паб","Екатеринбург, Добавить отзыв","Пн–Чт: 10:00 — 23:00, Пт–Сб: 10:00 — 01:00, Вс: 10:00 — 23:00",0.0,Средний чек 600 р. без напитков,
608,Dirty Dance bar,"бар, паб","Екатеринбург, Добавить отзыв",Пн–Вс: 21:00 — 06:00,0.0,Средний чек 1000 р. без напитков,
609,Bunin bar,"бар, паб","Екатеринбург, Добавить отзыв","Пн–Чт: 21:00 — 06:00, Пт–Сб: 20:00 — 06:00, Вс: 21:00 — 06:00",0.0,Средний чек 1000 р. без напитков,
610,Spaten Haus,"бар, паб","Екатеринбург, Добавить отзыв",Пн–Вс: Круглосуточно,0.0,Средний чек 1000 р. без напитков,
611,Fight bar Ural Cage,"бар, паб","Екатеринбург, Добавить отзыв","Пн–Чт: 10:00 — 00:00, Пт–Сб: 10:00 — 02:00, Вс: 10:00 — 00:00",0.0,Средний чек 500 р. без напитков,
612,Boozer,"бар, паб","Екатеринбург, Добавить отзыв","Пн–Ср: 12:00 — 01:00, Чт: 12:00 — 02:00, Пт: 12:00 — 05:00, Сб: 20:00 — 05:00, Вс: Выходной",0.0,Средний чек 1200 р. без напитков,
613,Ever Jazz,"бар, паб","Екатеринбург, ул. Тургенева 22",Пн–Вс: 13:00 — 23:00,9.3,Средний чек 1000 р. без напитков,
614,InTouch,"бар, паб","Екатеринбург, Добавить отзыв","Пн–Чт: 18:00 — 03:00, Пт–Сб: 18:00 — 05:00, Вс: Выходной",0.0,Средний чек 400 р. без напитков,
615,Nebar,"бар, паб","Екатеринбург, ул. Радищева 25",Пн–Вс: 18:00 — 06:00,8.8,Средний чек 1800 р. без напитков,
616,Royal Pub & Restaurant,"бар, паб","Екатеринбург, ул. Победы 51а","Пн–Чт: 13:00 — 00:00, Пт: 13:00 — 05:00, Сб: 13:00 — 04:00, Вс: 13:00 — 00:00",6.5,Средний чек 2000 р. без напитков,
617,Lounge Bar 25,"бар, паб","Екатеринбург, Добавить отзыв","Пн–Чт: 14:00 — 02:00, Пт–Сб: 14:00 — 06:00, Вс: 14:00 — 02:00",0.0,Средний чек 1700 р. без напитков,
618,Taboo Lounge,"бар, паб","Екатеринбург, Добавить отзыв","Пн–Чт: 12:00 — 02:00, Пт: 12:00 — 04:00, Сб: 14:00 — 04:00, Вс: 14:00 — 02:00",0.0,Средний чек 700 р. без напитков,
619,ProRock,"бар, паб","Екатеринбург, ул. 8 Марта 13","Пн–Чт: 12:00 — 01:00, Пт: 12:00 — 03:00, Сб: 18:00 — 03:00, Вс: Выходной",9.7,Средний чек 700 р. без напитков,
620,Kumara,"бар, паб","Екатеринбург, Добавить отзыв","Пн–Чт: 13:00 — 02:00, Пт: 13:00 — 04:00, Сб: 15:00 — 04:00, Вс: 15:00 — 02:00",0.0,Средний чек 600 р. без напитков,
621,Jazz Bar & Lounge,"бар, паб","Екатеринбург, Добавить отзыв",Пн–Вс: Круглосуточно,0.0,Средний чек 1500 р. без напитков,
622,El-Paso,"бар, паб","Екатеринбург, Добавить отзыв","Пн: Выходной, Вт–Вс: 20:00 — 06:00",0.0,Средний чек 1000 р. без напитков,
623,Sekta,"бар, паб","Екатеринбург, Добавить отзыв","Пн: 00:00, Вт–Чт: 18:00 — 00:00, Пт: 18:00 — 01:00, Сб: 16:00 — 01:00, Вс: 16:00 — 00:00",0.0,Средний чек 2500 р. без напитков,
624,Pravda Lounge,"бар, паб","Екатеринбург, Добавить отзыв","Пн–Чт: 16:00 — 02:00, Пт–Сб: 16:00 — 04:00, Вс: 16:00 — 02:00",0.0,Средний чек 1000 р. без напитков,
625,Museum Group,"бар, паб","Екатеринбург, Добавить отзыв",Пн–Вс: Круглосуточно,0.0,Средний чек 800 р. без напитков,
626,Intouch,"бар, паб","Екатеринбург, Добавить отзыв","Пн–Чт: 18:00 — 03:00, Пт–Сб: 18:00 — 05:00, Вс: 18:00 — 03:00",0.0,Средний чек 1200 р. без напитков,
627,Brugge Brasserie Belge,"бар, паб","Екатеринбург, ул. Сакко и Ванцетти 61","Пн–Чт: 12:00 — 00:00, Пт: 12:00 — 02:00, Сб: 14:00 — 02:00, Вс: 14:00 — 00:00",8.2,Средний чек 1500 р. без напитков,
628,Giza Club,"бар, паб","Екатеринбург, Добавить отзыв","Пн: 20:00 — 03:00, Вт–Чт: 15:00 — 03:00, Пт–Сб: 15:00 — 05:00, Вс: 15:00 — 03:00",0.0,Средний чек 1000 р. без напитков,
629,Dorian Gray,"бар, паб","Екатеринбург, ул. Антона Валека 15","Пн–Чт: 12:00 — 00:00, Пт–Сб: 12:00 — 05:00, Вс: 12:00 — 00:00",9.2,Средний чек 1900 р. без напитков,
630,Shalom Shanghai,"бар, паб","Екатеринбург, Добавить отзыв","Пн: Выходной, Вт–Чт: 18:00 — 02:00, Пт–Сб: 18:00 — 05:00, Вс: Выходной",0.0,Средний чек 700 р. без напитков,
631,Pashkin Bar,"бар, паб","Екатеринбург, ул. Розы Люксембург 19","Пн–Чт: 12:00 — 02:00, Пт: 12:00 — 04:00, Сб–Вс: 15:00 — 02:00",9.1,Средний чек 2000 р. без напитков,
632,Britannia,"бар, паб","Екатеринбург, Добавить отзыв","Пн–Чт: 12:00 — 01:00, Пт–Сб: 12:00 — 02:00, Вс: 12:00 — 01:00",0.0,Средний чек 1500 р. без напитков,
633,Royal Pub & Restaurant,"бар, паб","Екатеринбург, ул. Победы 51а","Пн–Чт: 13:00 — 00:00, Пт: 13:00 — 05:00, Сб: 13:00 — 04:00, Вс: 13:00 — 00:00",6.5,Средний чек 2000 р. без напитков,
634,Brugge Brasserie Belge,"бар, паб","Екатеринбург, ул. Сакко и Ванцетти 61","Пн–Чт: 12:00 — 00:00, Пт: 12:00 — 02:00, Сб: 14:00 — 02:00, Вс: 14:00 — 00:00",8.2,Средний чек 1500 р. без напитков,
635,The Rosy Jane,"бар, паб","Екатеринбург, пр-т Ленина 32/34","Пн–Чт: 09:00 — 02:00, Пт–Сб: 09:00 — 06:00, Вс: 09:00 — 02:00",9.3,Средний чек 1500 р. без напитков,
636,New bar,"бар, паб","Екатеринбург, ул. 8 Марта 8Д",Пн–Вс: 18:00 — 06:00,8.3,Средний чек 700 р. без напитков,
637,Fjord,"бар, паб","Екатеринбург, ул. Пушкина 7","Пн–Чт: 17:00 — 00:00, Пт: 17:00 — 03:00, Сб: 17:00 — 02:00, Вс: 17:00 — 00:00",9.5,Средний чек 1500 р. без напитков,
638,Jawsspot,"бар, паб","Екатеринбург, Добавить отзыв",Пн–Вс: 15:00 — 23:00,0.0,Средний чек 500 р. без напитков,
639,Old Deer,"бар, паб","Екатеринбург, Добавить отзыв","Пн–Чт: 16:00 — 00:00, Пт–Сб: 14:00 — 02:00, Вс: 14:00 — 00:00",0.0,Средний чек 500 р. без напитков,
640,Тяга,"бар, паб","Екатеринбург, Добавить отзыв","Пн–Чт: 12:00 — 01:00, Пт: 12:00 — 03:00, Сб: 18:00 — 03:00, Вс: 18:00 — 01:00",0.0,Средний чек 300 р. без напитков,
641,Spaten Haus,"бар, паб","Екатеринбург, Добавить отзыв",Пн–Вс: Круглосуточно,0.0,Средний чек 1000 р. без напитков,
642,Нельсон Совин,"бар, паб","Екатеринбург, ул. Малышева 21/4","Пн–Чт: 16:00 — 00:00, Пт: 16:00 — 02:00, Сб: 15:00 — 02:00, Вс: 15:00 — 00:00",8.1,Средний чек 800 р. без напитков,
643,Old Deer,"бар, паб","Екатеринбург, Добавить отзыв",,0.0,Средний чек 500 р. без напитков,
644,Три толстяка,"бар, паб","Екатеринбург, Добавить отзыв","Пн–Чт: 14:00 — 02:00, Пт–Сб: 14:00 — 04:00, Вс: 14:00 — 02:00",0.0,Средний чек 1200 р. без напитков,
645,Bar.olo,"бар, паб","Екатеринбург, Добавить отзыв","Пн–Ср: 12:00 — 00:00, Чт–Сб: 12:00 — 02:00, Вс: 12:00 — 00:00",0.0,Средний чек 1000 р. без напитков,
646,Байки,"бар, паб","Екатеринбург, Добавить отзыв","Пн–Чт: 10:00 — 00:00, Пт–Сб: 10:00 — 02:00, Вс: 12:00 — 00:00",0.0,Средний чек 1000 р. без напитков,
647,Винный бар Соловьева,"бар, паб","Екатеринбург, Добавить отзыв",Пн–Вс: 00:00 — 23:59,0.0,Средний чек 1000 р. без напитков,
648,Sekta,"бар, паб","Екатеринбург, Добавить отзыв","Пн: 00:00, Вт–Чт: 18:00 — 00:00, Пт: 18:00 — 01:00, Сб: 16:00 — 01:00, Вс: 16:00 — 00:00",0.0,Средний чек 2500 р. без напитков,
649,Руки ВВерх!,"бар, паб","Екатеринбург, ул. Радищева 25",Пн–Вс: 18:00 — 06:00,10.0,Средний чек 1600 р. без напитков,
650,Артист,"бар, паб","Екатеринбург, ул. Московская 131","Пн–Чт: 20:00 — 03:00, Пт–Сб: 20:00 — 05:00, Вс: 20:00 — 03:00",7.9,Средний чек 1500 р. без напитков,
651,Duty Free,"бар, паб","Екатеринбург, Добавить отзыв","Пн: 23:00 — 06:00, Вт–Чт: Выходной, Пт–Сб: 23:00 — 07:00, Вс: Выходной",0.0,Средний чек 1000 р. без напитков,
652,Breadway,"бар, паб","Екатеринбург, Бориса Ельцина 6","Пн–Чт: 09:00 — 00:00, Пт–Сб: 09:00 — 01:00, Вс: 09:00 — 00:00",8.7,Средний чек 800 р. без напитков,
653,Haze Bar,"бар, паб","Екатеринбург, ул. Бажова 193","Пн–Чт: 11:00 — 02:00, Пт: 11:00 — 04:00, Сб: 14:00 — 04:00, Вс: 14:00 — 02:00",9.8,Средний чек 1200 р. без напитков,
654,Dirty Dance bar,"бар, паб","Екатеринбург, Добавить отзыв",Пн–Вс: 21:00 — 06:00,0.0,Средний чек 1000 р. без напитков,
655,Фабрика,"бар, паб","Екатеринбург, пер. Центральный рынок 6","Пн–Пт: 18:00 — 22:00, Сб–Вс: 18:00 — 06:00",8.8,Средний чек 1000 р. без напитков,
656,Boozer,"бар, паб","Екатеринбург, Добавить отзыв","Пн–Ср: 12:00 — 01:00, Чт: 12:00 — 02:00, Пт: 12:00 — 05:00, Сб: 20:00 — 05:00, Вс: Выходной",0.0,Средний чек 1200 р. без напитков,
657,Nebar,"бар, паб","Екатеринбург, ул. Радищева 25",Пн–Вс: 18:00 — 06:00,8.8,Средний чек 1800 р. без напитков,
658,Ptizza счастья,"бар, паб","Екатеринбург, ул. Малышева 53","Пн–Чт: 12:00 — 23:00, Пт–Сб: 12:00 — 00:00, Вс: 12:00 — 23:00",8.8,Средний чек 1000 р. без напитков,
659,Plov Project,"бар, паб","Екатеринбург, ул. Вайнера 9а","Пн–Чт: 12:00 — 01:00, Пт–Сб: 12:00 — 02:00, Вс: 12:00 — 01:00",9.1,Средний чек 1100 р. без напитков,
660,Shelest,"бар, паб","Екатеринбург, Добавить отзыв","Пн–Чт: 12:00 — 00:00, Пт–Сб: 12:00 — 01:00, Вс: 12:00 — 00:00",0.0,Средний чек 2000 р. без напитков,
661,Pravda Lounge,"бар, паб","Екатеринбург, Добавить отзыв","Пн–Чт: 16:00 — 02:00, Пт–Сб: 16:00 — 04:00, Вс: 16:00 — 02:00",0.0,Средний чек 1000 р. без напитков,
662,Сапфир,"бар, паб","Екатеринбург, Добавить отзыв","Пн–Чт: 12:00 — 00:00, Пт–Сб: 12:00 — 01:00, Вс: 12:00 — 00:00",0.0,Средний чек 500 р. без напитков,
663,Intouch,"бар, паб","Екатеринбург, Добавить отзыв","Пн–Чт: 18:00 — 03:00, Пт–Сб: 18:00 — 05:00, Вс: 18:00 — 03:00",0.0,Средний чек 1200 р. без напитков,
664,Dorian Gray,"бар, паб","Екатеринбург, ул. Антона Валека 15","Пн–Чт: 12:00 — 00:00, Пт–Сб: 12:00 — 05:00, Вс: 12:00 — 00:00",9.2,Средний чек 1900 р. без напитков,
665,TGI Fridays,"бар, паб","Екатеринбург, ул. 8 Марта 8д","Пн–Чт: 12:00 — 22:00, Пт–Сб: 12:00 — 00:00, Вс: 12:00 — 22:00",5.8,Средний чек 1200 р. без напитков,
666,Shalom Shanghai,"бар, паб","Екатеринбург, Добавить отзыв","Пн: Выходной, Вт–Чт: 18:00 — 02:00, Пт–Сб: 18:00 — 05:00, Вс: Выходной",0.0,Средний чек 700 р. без напитков,
667,The Out Bar,"бар, паб","Екатеринбург, ул. 8 Марта 31В","Пн–Вт: Выходной, Ср–Чт: 19:00 — 02:00, Пт–Сб: 19:00 — 05:00, Вс: Выходной",4.0,Средний чек 1200 р. без напитков,
668,The Optimist,"бар, паб","Екатеринбург, пр. Ленина 50б","Пн–Чт: 09:00 — 21:00, Пт: 09:00 — 04:00, Сб: 15:00 — 04:00, Вс: Выходной",8.1,Средний чек 1800 р. без напитков,
669,Stuff Bar,"бар, паб","Екатеринбург, ул. Белинского 132",Пн–Вс: 18:00 — 06:00,9.3,Средний чек 800 р. без напитков,
670,Royal Arbat,"бар, паб","Екатеринбург, Добавить отзыв",Пн–Вс: 19:00 — 06:00,0.0,Средний чек 2000 р. без напитков,
671,50 костей,"бар, паб","Екатеринбург, ул. 8 Марта 23","Пн–Чт: 12:00 — 00:00, Пт–Сб: 12:00 — 02:00, Вс: 14:00 — 00:00",8.4,Средний чек 1000 р. без напитков,
672,Ахинея,"бар, паб","Екатеринбург, Добавить отзыв","Пн–Чт: 14:00 — 02:00, Пт–Сб: 14:00 — 04:00, Вс: 14:00 — 02:00",0.0,Средний чек 1200 р. без напитков,
673,Martini Bar,"бар, паб","Екатеринбург, ул. 8 Марта 46","Пн–Чт: 12:00 — 22:00, Пт–Сб: 12:00 — 23:00, Вс: 12:00 — 22:00",8.0,Средний чек 500 р. без напитков,
674,New bar,"бар, паб","Екатеринбург, ул. 8 Марта 8Д",Пн–Вс: 18:00 — 06:00,8.3,Средний чек 700 р. без напитков,
675,James,"бар, паб","Екатеринбург, Добавить отзыв","Пн–Чт: 12:00 — 00:00, Пт–Сб: 12:00 — 02:00, Вс: 12:00 — 00:00",0.0,Средний чек 2000 р. без напитков,
676,Zажигалка,"бар, паб","Екатеринбург, Добавить отзыв",Пн–Вс: 22:00 — 06:00,0.0,,
677,Malina Aroma Room,"бар, паб","Екатеринбург, Добавить отзыв","Пн–Ср: Выходной, Чт: 21:00 — 02:00, Пт–Сб: 21:00 — 06:00, Вс: Выходной",0.0,Средний чек 800 р. без напитков,
678,Union,"бар, паб","Екатеринбург, Добавить отзыв","Пн–Ср: Выходной, Чт–Вс: 23:00 — 06:00",0.0,,
679,Kaifooi,"бар, паб","Екатеринбург, ул. Хохрякова 72",Пн–Вс: 16:00 — 02:00,6.5,Средний чек 500 р. без напитков,
680,Hills,"бар, паб","Екатеринбург, Добавить отзыв","Пн–Чт: 12:00 — 02:00, Пт–Сб: 12:00 — 04:00, Вс: 12:00 — 02:00",0.0,Средний чек 1000 р. без напитков,
681,Double Grill and Bar,"бар, паб","Екатеринбург, Добавить отзыв","Пн–Чт: 12:00 — 01:00, Пт: 12:00 — 02:00, Сб: 14:00 — 02:00, Вс: 14:00 — 00:00",0.0,Средний чек 1700 р. без напитков,
682,Air,"бар, паб","Екатеринбург, ул. Радищева 1","Пн–Чт: 16:00 — 02:00, Пт–Сб: 18:00 — 04:00, Вс: 16:00 — 02:00",8.8,Средний чек 700 р. без напитков,
683,1991,"бар, паб","Екатеринбург, Добавить отзыв",Пн–Вс: 08:00 — 22:00,0.0,Средний чек 1500 р. без напитков,
684,Fame Club,"бар, паб","Екатеринбург, Добавить отзыв","Пн–Вт: Выходной, Ср: 23:00 — 06:00, Чт: Выходной, Пт–Сб: 23:00 — 06:00, Вс: 00:00 — 06:00",0.0,Средний чек 1000 р. без напитков,
685,Дуть,"бар, паб","Екатеринбург, ул. Энгельса 36","Пн–Чт: 12:00 — 02:00, Пт–Сб: 12:00 — 04:00, Вс: 12:00 — 02:00",10.0,Средний чек 800 р. без напитков,
686,Градусы,"бар, паб","Екатеринбург, ул. 8 Марта 43","Пн–Ср: Выходной, Чт: 21:00 — 04:00, Пт–Сб: 21:00 — 06:00, Вс: Выходной",2.2,Средний чек 700 р. без напитков,
687,Bla Bla Bar,"бар, паб","Екатеринбург, ул. Добролюбова 3","Пн–Чт: 12:00 — 02:00, Пт–Сб: 14:00 — 06:00, Вс: 12:00 — 02:00",6.0,Средний чек 1200 р. без напитков,
688,Сплетни,"бар, паб","Екатеринбург, Куйбышева 61","Пн–Чт: 17:00 — 01:00, Пт–Сб: 17:00 — 04:00, Вс: 17:00 — 01:00",8.9,Средний чек 1000 р. без напитков,
689,Рохел,"бар, паб","Екатеринбург, ул. Первомайская 77","Пн–Пт: 11:00 — 00:00, Сб–Вс: 12:00 — 00:00",4.1,Средний чек 700 р. без напитков,
690,Негодяи,"бар, паб","Екатеринбург, просп. Ленина 20а","Пн–Чт: 12:00 — 01:00, Пт–Сб: 12:00 — 04:00, Вс: 12:00 — 01:00",9.2,Средний чек 1000 р. без напитков,
691,Мой Бар,"бар, паб","Екатеринбург, Вильгельма де Геннина 47","Пн–Чт: 12:00 — 00:00, Пт–Сб: 12:00 — 02:00, Вс: 12:00 — 00:00",8.6,Средний чек 700 р. без напитков,
692,Коллектив,"бар, паб","Екатеринбург, ул. 8 Марта 8Г","Пн–Чт: 18:00 — 02:00, Пт–Сб: 18:00 — 04:00, Вс: 18:00 — 02:00",9.2,Средний чек 700 р. без напитков,
693,Killfish,"бар, паб","Екатеринбург, ул. Вайнера 9а","Пн–Чт: 14:00 — 02:00, Пт–Сб: 14:00 — 03:00, Вс: 14:00 — 02:00",7.8,Средний чек 600 р. без напитков,
694,Bessonnica Lounge,"бар, паб","Екатеринбург, Добавить отзыв","Пн–Чт: 16:00 — 03:00, Пт–Сб: 16:00 — 05:00, Вс: 16:00 — 03:00",0.0,,
695,Killfish,"бар, паб","Екатеринбург, Добавить отзыв","Пн–Чт: 15:00 — 02:00, Пт–Сб: 15:00 — 03:00, Вс: 15:00 — 02:00",0.0,Средний чек 600 р. без напитков,
696,Plov Project,"бар, паб","Екатеринбург, Добавить отзыв","Пн–Чт: 12:01 — 01:00, Пт–Сб: 12:01 — 02:00, Вс: 12:01 — 01:00",0.0,Средний чек 1100 р. без напитков,
697,Черновик,"бар, паб","Екатеринбург, Добавить отзыв","Пн–Чт: 18:00 — 00:00, Пт–Сб: 18:00 — 03:00, Вс: 18:00 — 00:00",0.0,Средний чек 2500 р. без напитков,
698,The Legends,Ресторан / Новое,"Санкт - Петербург , Садовая , 62","пн - чт , вс 12.00 – 23.00 , пт - сб 12.00 – 2.00",,1700 – 3000 рублей средний чек,
699,Fresa ' s,Ресторан,"Санкт - Петербург , Вознесенский просп., 6",пн - вс 9.00 – 0.00,,1700 – 3000 рублей средний чек,
700,Garage,Паб,"Санкт - Петербург , Бухарестская , 30 , ТРК « Континент », 4 этаж","пн - чт , вс 12.00 – 23.00 , пт - сб 12.00 – 1.00",,700 – 1700 рублей средний чек,
701,Juno,Ресторан,"Санкт - Петербург , Казанская , 46","пн - чт , вс 11.30 – 23.30 , пт - сб 11.30 – 1.00",,700 – 1700 рублей средний чек,
702,Neon Bar,Бар,"Санкт - Петербург , Банковский пер., 3",пн - вс 15.00 – 6.00,,700 – 1700 рублей средний чек,
703,Prosa,Кафе,"Санкт - Петербург , наб.канала Грибоедова , 5",пн - вс 10.00 – 23.00,,700 – 1700 рублей средний чек,
704,Wine & Dine,Ресторан,"Санкт - Петербург , Петроградская наб., 8","пн - ср , вс 11.00 – 23.00 , чт 11.00 – 0.00 , пт - сб 11.00 – 1.00",,1700 – 3000 рублей средний чек,
705,Вах ! Вах !,Ресторан / Новое,"Санкт - Петербург , Восстания , 55","пн - чт , вс 10.00 – 23.00 , пт - сб 10.00 – 23.30",,1700 – 3000 рублей средний чек,
706,Игристые,Ресторан,"Санкт - Петербург , пер.Гривцова , 13 / 11","пн - чт , вс 12.00 – 23.00 , пт - сб 12.00 – 1.00",,700 – 1700 рублей средний чек,
707,Duo,Ресторан,"Санкт - Петербург , Кирочная , 8а","пн - чт , вс 13.00 – 0.00 , пт - сб 13.00 – 1.00",9.8,700 – 1700 рублей средний чек,
708,Бекицер,Ресторан,"Санкт - Петербург , Рубинштейна , 40 / 11 , 1 этаж","пн - чт 12.00 – 1.00 , пт 12.00 – 6.00 , сб 11.00 – 6.00 , вс 11.00 – 1.00",9.1,700 – 1700 рублей средний чек,
