,name,category,address,hours,rating,avg_bill,middle_coffee_cup
2096,Foyer,Бар,"Санкт - Петербург , Социалистическая , 21 , фуд - холл в апарт - отеле Ye ' s Marata",пн - вс 12.00 – 23.00,,,
2097,Fragment Coffee House,Кофейня,"Санкт - Петербург , Кораблестроителей , 30 / 5",пн - вс 7.00 – 0.00,,,
2098,Francette,Кондитерская,"Санкт - Петербург , просп.Авиаконструкторов , 38 , корп.1",пн - вс 9.00 – 22.00,,До 700 рублей средний чек,
2099,Frank,Ресторан,"Санкт - Петербург , Рубинштейна , 29","пн - чт , вс 12.00 – 1.00 , пт - сб 12.00 – 3.00",,700 – 1700 рублей средний чек,
2100,Frank,Ресторан,"Санкт - Петербург , Московский просп., 175",пн - вс 12.00 – 1.00,,700 – 1700 рублей средний чек,
2101,Frantsuza Bistrot,Ресторан,"Санкт - Петербург , наб.Адмирала Лазарева , 22",пн - вс 13.00 – 0.00,,1700 – 3000 рублей средний чек,
2102,Frau Müller,Бар,"Санкт - Петербург , Лиговский просп., 183","пн - чт , вс 12.00 – 23.00 , пт - сб 12.00 – 2.00",,До 700 рублей средний чек,
2103,Freedom,Кафе,"Санкт - Петербург , Казанская , 7","пн - чт , вс 12.00 – 0.00 , пт - сб 12.00 – 6.00",,До 700 рублей средний чек,
2104,Freemen ' s Club,Ресторан,"Санкт - Петербург , Ивановская , 17",пн - вс 12.00 – 6.00,,,
2105,French Kiss,Кондитерская,"Санкт - Петербург , Смольный просп., 17 , стр.1","пн - пт 10.00 – 21.00 , сб - вс 10.00 – 19.00",,,
2106,Fresco,Кафе,"Санкт - Петербург , Тосно , просп.Ленина , 47",пн - вс 11.00 – 0.00,,До 700 рублей средний чек,
2107,Fresh Coffee,Кофейня,"Санкт - Петербург , Миллионная , 25",пн - вс 8.00 – 22.30,,,
2108,Fresh Point,Кафе,"Санкт - Петербург , Аптекарская наб., 8 , БЦ « Лукойл »",пн - пт 8.30 – 18.00,,До 700 рублей средний чек,
2109,Fresh Point,Кафе,"Санкт - Петербург , Левашовский просп., 11 / 7 , БЦ « Левашовский »",пн - пт 8.30 – 19.30,,До 700 рублей средний чек,
2110,Fresh Point,Кафе,"Санкт - Петербург , Чапаева , 5 , БЦ « Сити - центр »",пн - пт 8.00 – 19.30,,До 700 рублей средний чек,
2111,Fresh Point,Кафе,"Санкт - Петербург , Барочная , 10 , БЦ « Воронцов »",пн - пт 8.30 – 19.30,,До 700 рублей средний чек,
2112,Fresh Point,Кафе,"Санкт - Петербург , Петроградская наб., 36 , БЦ « Линкор »",пн - пт 8.30 – 19.30,,До 700 рублей средний чек,
2113,Fresh Point,Кафе,"Санкт - Петербург , пл.Конституции , 7 , БЦ « Лидер », 2 этаж",пн - пт 8.30 – 18.30,,До 700 рублей средний чек,
2114,Fresh Point,Кафе,"Санкт - Петербург , Невский просп., 109","пн - пт 8.00 – 21.00 , сб - вс 9.30 – 20.30",,До 700 рублей средний чек,
2115,Fresh Point,Кафе,"Санкт - Петербург , Б.Морская , 3 – 5 , литера А , БЦ « Лидваль »",пн - пт 8.00 – 18.30,,До 700 рублей средний чек,
2116,Fresh Point,Кафе,"Санкт - Петербург , Невский просп., 38 , 1 этаж",пн - пт 8.30 – 18.30,,До 700 рублей средний чек,
