name,category,address,hours,rating,avg_bill,middle_coffee_cup
Ponte,ресторан,"Санкт-Петербург, ул. Рубинштейна 15-17","Пн–Чт: 09:00 — 23:00, Пт–Сб: 09:00 — 01:00, Вс: 09:00 — 23:00",6.5,Средний чек 1600 р. без напитков,
МА,ресторан,"Санкт-Петербург, Московский пр. 200",Пн–Вс: 10:00 — 23:00,8.5,Средний чек 1500 р. без напитков,
Gianni,ресторан,"Санкт-Петербург, Получите расширенный доступ к странице",,,Средний чек 1200 р. без напитков,
МА,ресторан,"Санкт-Петербург, ул. Рубинштейна 7",Пн–Вс: 10:00 — 23:00,8,Средний чек 1500 р. без напитков,
Felichito,ресторан,"Санкт-Петербург, пр-т Вознесенский 28","Пн–Чт: 11:00 — 23:00, Пт–Сб: 11:00 — 00:00, Вс: 11:00 — 23:00",9.7,Средний чек 1000 р. без напитков,
Bona Capona,ресторан,"Санкт-Петербург, Пулковское шоссе 60/1",Пн–Вс: 10:00 — 22:00,0,Средний чек 1200 р. без напитков,
Lorenzo Medici,ресторан,"Санкт-Петербург, Получите расширенный доступ к странице",,,Средний чек 1500 р. без напитков,
Раскольников,ресторан,"Санкт-Петербург, пр-т Владимирский 19",Пн–Вс: 12:00 — 23:00,8.6,Средний чек 1200 р. без напитков,
Cafe People,ресторан,"Санкт-Петербург, пр-т Загородный 15","Пн–Чт: 12:00 — 00:00, Пт–Сб: 12:00 — 01:00, Вс: 12:00 — 23:00",8.3,Средний чек 1200 р. без напитков,
Antico,ресторан,"Санкт-Петербург, ул. Грибалевой 7",Пн–Вс: 12:00 — 21:00,7.2,Средний чек 1300 р. без напитков,
Москва,ресторан,"Санкт-Петербург, Дунайский пр. 21","Пн–Чт: Выходной, Пт–Вс: 18:00 — 05:00",7.3,Средний чек 1200 р. без напитков,
Фабрика,ресторан,"Санкт-Петербург, пр. Заневский 38","Пн–Чт: Выходной, Пт–Вс: 18:00 — 05:00",7.2,Средний чек 1200 р. без напитков,
Лето,ресторан,"Санкт-Петербург, пр-т Просвещения 80к3",Пн–Вс: 12:00 — 23:00,8.1,Средний чек 1000 р. без напитков,
Гагарин,ресторан,"Санкт-Петербург, пр. Испытателей 37","Пн–Чт: Выходной, Пт–Вс: 18:00 — 05:00",7.3,Средний чек 1200 р. без напитков,
AEffect,ресторан,"Санкт-Петербург, ул. Ждановская 45",Пн–Вс: 13:00 — 23:00,7.8,Средний чек 2500 р. без напитков,
Bona Capona,ресторан,"Санкт-Петербург, пр. Московский д. 179",Пн–Вс: C 09:00 — до последнего гостя,8.1,Средний чек 1200 р. без напитков,
Дитай,ресторан,"Санкт-Петербург, пр. Лесной 4","Пн–Чт: 12:30 — 23:00, Пт–Вс: 12:30 — 00:00",8.4,Средний чек 1300 р. без напитков,
Tiger Lily,ресторан,"Санкт-Петербург, Получите расширенный доступ к странице",,,Средний чек 1000 р. без напитков,
Малатан,ресторан,"Санкт-Петербург, пр. Невский 128",Пн–Вс: 11:00 — 23:00,9.8,Средний чек 900 р. без напитков,
Ossu,ресторан,"Санкт-Петербург, ул. Некрасова 21","Пн–Чт: 12:00 — 23:00, Пт–Сб: 12:00 — 00:00, Вс: 12:00 — 23:00",9,Средний чек 1400 р. без напитков,
Малатан,ресторан,"Санкт-Петербург, Казанская ул. 38",Пн–Вс: 11:00 — 23:00,9.6,Средний чек 500 р. без напитков,
Ми Фан,ресторан,"Санкт-Петербург, ул. Беринга 27 корп. 1",Пн–Вс: 12:00 — 23:00,9.1,Средний чек 850 р. без напитков,
Hagao,ресторан,"Санкт-Петербург, наб. Адмиралтейского канала 2",Пн–Вс: 11:00 — 23:00,8.7,Средний чек 1100 р. без напитков,
Bao Chao,ресторан,"Санкт-Петербург, Планерная ул. 59",Пн–Вс: 12:00 — 22:00,9.9,Средний чек 700 р. без напитков,
Mekong,ресторан,"Санкт-Петербург, ул. Садовая 42",Пн–Вс: 12:00 — 23:00,8.5,Средний чек 1500 р. без напитков,
Юми,ресторан,"Санкт-Петербург, ул. Разъезжая 10",Пн–Вс: 11:30 — 23:30,8.9,Средний чек 900 р. без напитков,
Нихао Москва-Пекин,ресторан,"Санкт-Петербург, Аптекарская наб. 8",Пн–Вс: 11:00 — 22:00,8.6,Средний чек 2000 р. без напитков,
Тан Жен,ресторан,"Санкт-Петербург, пр. Ленинский 160",Пн–Вс: 12:00 — 23:00,8.6,Средний чек 800 р. без напитков,
Ramen Shifu,ресторан,"Санкт-Петербург, В.О. 8-я линия 15",Пн–Вс: 11:00 — 21:45,8.5,Средний чек 800 р. без напитков,
Цзао Ван,ресторан,"Санкт-Петербург, ул. Перекопская 5",Пн–Вс: 12:00 — 00:00,8.2,Средний чек 800 р. без напитков,
PanTao,ресторан,"Санкт-Петербург, ул. Гороховая 31литА",Пн–Вс: 12:00 — 23:00,8.6,Средний чек 1100 р. без напитков,
Great Meal,ресторан,"Санкт-Петербург, В.О. 1-я линия 34",Пн–Вс: 12:00 — 23:00,8.6,Средний чек 1300 р. без напитков,
Green 28,ресторан,"Санкт-Петербург, ул. Большая Зеленина 28","Пн–Пт: 09:00 — 23:00, Сб–Вс: 10:00 — 23:00",8.4,Средний чек 1300 р. без напитков,
Made in,ресторан,"Санкт-Петербург, ул. Школьная 14",Пн–Вс: 12:00 — 23:00,8.5,Средний чек 1300 р. без напитков,
Made In China,ресторан,"Санкт-Петербург, Большая Морская ул. 35","Пн: 11:00 — 01:00, Вт: 11:00 — 23:00, Ср–Чт: 12:00 — 23:00, Пт: 12:00 — 01:00, Сб–Вс: 11:00 — 01:00",7.8,Средний чек 1300 р. без напитков,
Свет Востока,ресторан,"Санкт-Петербург, ул. Курляндская 36",Пн–Вс: 12:00 — 00:00,8.5,Средний чек 500 р. без напитков,
Чуфальня,ресторан,"Санкт-Петербург, ул. Садовая 28-30к27",Пн–Вс: 10:00 — 23:00,8.6,Средний чек 700 р. без напитков,
Mamahuhu,ресторан,"Санкт-Петербург, ул. Б. Пушкарская 34",Пн–Вс: 12:00 — 23:00,7.2,Средний чек 1200 р. без напитков,
ОгоХого,ресторан,"Санкт-Петербург, В.О. 1-я линия 32",Пн–Вс: 12:00 — 22:00,8.1,Средний чек 550 р. без напитков,
Ресторан сычуаньской кухни,ресторан,"Санкт-Петербург, ул. Нахимова 20",Пн–Вс: 11:00 — 23:00,8,Средний чек 1000 р. без напитков,
Китай-город,ресторан,"Санкт-Петербург, ул. 3-я Советская 5",Пн–Вс: 11:00 — 23:00,7.3,Средний чек 1000 р. без напитков,
Хаочи,ресторан,"Санкт-Петербург, пр. Английский 48",Пн–Вс: 11:30 — 00:00,7.7,Средний чек 700 р. без напитков,
Макао,ресторан,"Санкт-Петербург, ул. Кораблестроителей 32/1",Пн–Вс: 11:30 — 23:30,7.5,Средний чек 900 р. без напитков,
Певческая башня,ресторан,"Санкт-Петербург, г. Пушкин, пер. Лицейский 7","Пн–Чт: 12:00 — 23:00, Пт–Сб: 12:00 — 01:00, Вс: 12:00 — 23:00",7.1,Средний чек 1300 р. без напитков,
Цзао Ван,ресторан,"Санкт-Петербург, пр. Ленинский 114",Пн–Вс: 12:00 — 00:00,6.8,Средний чек 800 р. без напитков,
Asia лапша,ресторан,"Санкт-Петербург, Большой пр. П.С. 18","Пн–Чт: 10:00 — 01:00, Пт–Сб: 10:00 — 02:00, Вс: 10:00 — 01:00",6.2,Средний чек 1500 р. без напитков,
Китай-город,ресторан,"Санкт-Петербург, ул. Мытнинская 12",Пн–Вс: 11:30 — 23:30,7,Средний чек 1000 р. без напитков,
Мулан,ресторан,"Санкт-Петербург, В.О. пр. Малый 40","Пн–Чт: 11:00 — 23:00, Пт: 11:00 — 00:00, Сб: 12:00 — 00:00, Вс: 12:00 — 23:00",6.8,Средний чек 800 р. без напитков,
See Asia,ресторан,"Санкт-Петербург, Лиговский проспект 174",Пн–Вс: 12:00 — 23:00,6.7,Средний чек 1700 р. без напитков,
Фу Ченг,ресторан,"Санкт-Петербург, пр. Косыгина 34/1",Пн–Вс: 12:00 — 00:00,7,Средний чек 900 р. без напитков,
Чуфальня,ресторан,"Санкт-Петербург, ул. Гжатская 22",Пн–Вс: 10:00 — 22:00,6.5,Средний чек 500 р. без напитков,
Чайный дом по-восточному,ресторан,"Санкт-Петербург, ул. Александра Невского 9",Пн–Вс: 12:00 — 23:30,6.6,Средний чек 1100 р. без напитков,
Хаочи,ресторан,"Санкт-Петербург, ул. Декабристов 27",Пн–Вс: 11:30 — 00:00,6.4,Средний чек 700 р. без напитков,
Чайный дом по-восточному,ресторан,"Санкт-Петербург, пр. Новочеркасский 16/12",Пн–Вс: 12:00 — 23:30,5.8,Средний чек 1100 р. без напитков,
Kona,ресторан,"Санкт-Петербург, Большой проспект П.С. 13/4","Пн–Чт: 13:00 — 00:00, Пт–Сб: 13:00 — 01:00, Вс: 13:00 — 00:00",5.1,Средний чек 1400 р. без напитков,
Дуду лапша,ресторан,"Санкт-Петербург, пр. Добролюбова 23",Пн–Вс: 11:30 — 22:30,0,Средний чек 1000 р. без напитков,
