name,category,address,hours,rating,avg_bill,middle_coffee_cup
Счастье,Ресторан,"Санкт - Петербург , Рубинштейна , 15 – 17","пн - чт 9.00 – 1.00 , пт 9.00 – 3.00 , сб 10.00 – 3.00 , вс 10.00 – 1.00",7.3,700 – 1700 рублей средний чек,
Oh ! Mumbai,Ресторан,"Санкт - Петербург , пер.Гривцова , 2",пн - вс 12.00 – 23.00,7.3,700 – 1700 рублей средний чек,
Mozzarella,Ресторан,"Санкт - Петербург , Московский просп., 153","пн - пт 9.00 – 0.00 , сб - вс 10.00 – 0.00",7.3,700 – 1700 рублей средний чек,
Хочу харчо,Ресторан,"Санкт - Петербург , Садовая , 39 – 41",круглосуточно,7.3,1700 – 3000 рублей средний чек,
Карл и Фридрих,"бар, паб","Санкт - Петербург , Южная дорога , 15","пн - чт , вс 12.00 – 0.00 , пт - сб 12.00 – 1.00",7.2,1700 – 3000 рублей средний чек,
Больше кофе,Кофейня,"Санкт - Петербург , Александровский парк , 5","пн - пт 8.30 – 22.00 , сб - вс 10.00 – 22.00",7.2,До 700 рублей средний чек,
Сакартвело,Ресторан,"Санкт - Петербург , 12 - я линия В.О., 13",пн - вс 12.00 – 23.00,7.2,700 – 1700 рублей средний чек,
Дачники,Ресторан,"Санкт - Петербург , Невский просп., 20 , цокольный этаж",пн - вс 12.00 – 1.00,7.2,700 – 1700 рублей средний чек,
Manneken Pis,"бар, паб","Санкт - Петербург , Московский просп., 198","пн - чт 13.00 – 1.00 , пт 13.00 – 2.00 , сб 12.00 – 2.00 , вс 12.00 – 1.00",7.2,700 – 1700 рублей средний чек,
Буше,Кондитерская,"Санкт - Петербург , М.Морская , 7",пн - вс 8.00 – 22.00,7.2,700 – 1700 рублей средний чек,
Марсельеза,Ресторан,"Санкт - Петербург , наб.Мартынова , 16","пн - пт 9.00 – 23.00 , сб - вс 10.00 – 23.00",7.2,1700 – 3000 рублей средний чек,
Токио City,Ресторан,"Санкт - Петербург , просп.Просвещения , 72 , корп.1",пн - вс 12.00 – 3.00,7.2,700 – 1700 рублей средний чек,
Limoncello,Ресторан,"Санкт - Петербург , Литейный просп., 40",пн - вс 11.00 – 23.00,7.1,700 – 1700 рублей средний чек,
Shannon,Паб,"Санкт - Петербург , б - р Новаторов , 2 , корп.2","пн - чт , вс 12.00 – 1.00 , пт - сб 12.00 – 2.00",7.1,700 – 1700 рублей средний чек,
Tawny Bar,Бар,"Санкт - Петербург , наб.реки Фонтанки , 20 , лофт « Голицын »",пн - вс 15.00 – 23.00,7.1,До 700 рублей средний чек,
Строганов стейк - хаус,Ресторан,"Санкт - Петербург , Конногвардейский б - р , 4","пн - пт 8.00 – 0.00 , сб - вс 10.00 – 0.00",7.1,Больше 3000 рублей средний чек,
Tres amigos,Ресторан,"Санкт - Петербург , Рубинштейна , 25",пн - вс 12.00 – 0.00,7.1,700 – 1700 рублей средний чек,
Подвал бродячей собаки,Кафе,"Санкт - Петербург , Итальянская , 4",пн - вс 11.30 – 23.30,7.1,700 – 1700 рублей средний чек,
Джельсомино,Караоке,"Санкт - Петербург , Полтавская , 5 / 29","пн - чт , вс 20.00 – 5.00 , пт - сб 20.00 – 6.00",7.1,Больше 3000 рублей средний чек,
Рюмочная,Рюмочная,"Санкт - Петербург , Пушкинская , 1",пн - вс 12.00 – 23.00,7.1,До 700 рублей средний чек,
Парк Джузеппе,Ресторан,"Санкт - Петербург , наб.канала Грибоедова , 2в","пн - чт , вс 11.00 – 0.00 , пт - сб 11.00 – 1.00",7.0,1700 – 3000 рублей средний чек,
Большая кухня,Ресторан,"Санкт - Петербург , Лиговский просп., 30а , ТРЦ « Галерея », 5 этаж",пн - вс 10.00 – 23.00,7.0,700 – 1700 рублей средний чек,
Nebar,Бар,"Санкт - Петербург , Литейный просп., 57 , литера Б",пн - вс 18.00 – 6.00,6.9,700 – 1700 рублей средний чек,
Philibert,Ресторан,"Санкт - Петербург , Коломенская , 29",вт - сб 13.00 – 21.00,6.9,700 – 1700 рублей средний чек,
Финнеганс,Паб,"Санкт - Петербург , Московский просп., 192","пн - чт , вс 12.00 – 1.00 , пт - сб 12.00 – 3.00",6.9,700 – 1700 рублей средний чек,
Redrum,Бар,"Санкт - Петербург , Некрасова , 26","пн - чт 14.00 – 1.00 , пт 14.00 – 3.00 , сб 13.00 – 3.00 , вс 13.00 – 1.00",6.9,700 – 1700 рублей средний чек,
Идиот,Ресторан,"Санкт - Петербург , наб.реки Мойки , 82",пн - вс 11.00 – 1.00,6.9,1700 – 3000 рублей средний чек,
Моцарт,Кафе,"Санкт - Петербург , Кронверкский просп., 23",пн - вс 9.00 – 23.00,6.8,700 – 1700 рублей средний чек,
Oliver,Паб,"Санкт - Петербург , Белинского , 3","пн - чт , вс 16.00 – 1.00 , пт - сб 16.00 – 4.00",6.8,700 – 1700 рублей средний чек,
Chez Jules,Кафе,"Санкт - Петербург , Гангутская , 16","пн - пт 9.00 – 23.00 , сб 10.00 – 23.00 , вс 11.00 – 23.00",6.8,700 – 1700 рублей средний чек,
48 стульев,Бар,"Санкт - Петербург , Рубинштейна , 5","пн - чт , вс 14.00 – 0.00 , пт - сб 14.00 – 2.00",6.7,1700 – 3000 рублей средний чек,
Марчеллис,Ресторан,"Санкт - Петербург , Ленинский просп., 120",пн - вс 12.00 – 0.00,6.7,700 – 1700 рублей средний чек,
Мансарда,Ресторан,"Санкт - Петербург , Почтамтская , 3 – 5",пн - вс 12.00 – 23.00,6.7,Больше 3000 рублей средний чек,
Conchita Bonita,Ресторан,"Санкт - Петербург , Гороховая , 41","пн - чт , вс 12.00 – 1.00 , пт - сб 12.00 – 6.00",6.7,700 – 1700 рублей средний чек,
Mad Espresso Team,Кофейня,"Санкт - Петербург , 2 - я Советская , 27","пн - пт 8.00 – 22.00 , сб 10.00 – 22.00 , вс 10.00 – 20.00",6.7,До 700 рублей средний чек,
Апрель Café,Ресторан,"Санкт - Петербург , Савушкина , 126 , ТРК « Атлантик - сити », 2 этаж","пн - чт , вс 12.00 – 1.00 , пт - сб 12.00 – 2.00",6.7,700 – 1700 рублей средний чек,
Daiquiri,Бар,"Санкт - Петербург , Б.Конюшенная , 1",пн - вс 16.00 – 4.00,6.6,,
