name,category,address,hours,rating,avg_bill,middle_coffee_cup
Burger Corner,Ресторан,"Новосибирск , Геодезическая , 4 / 1 , ТЦ « Амстердам »",пн - сб 10.00 – 22.00,,До 700 рублей средний чек,
Burger King,Фастфуд,"Новосибирск , Красный просп., 101 , ТРК « Ройял - парк », 2 этаж",пн - вс 10.00 – 23.00,,До 700 рублей средний чек,
Burger King,Фастфуд,"Новосибирск , Красный просп., 17 , ТЦ « Бутон », 2 этаж",круглосуточно,,До 700 рублей средний чек,
Burger King,Фастфуд,"Новосибирск , Гоголя , 13 , ТРЦ « Галерея Новосибирск », 3 этаж",пн - вс 10.00 – 22.00,,До 700 рублей средний чек,
Burger King,Фастфуд,"Новосибирск , Геодезическая , 13а",пн - вс 8.00 – 2.00,,До 700 рублей средний чек,
Burger King,Фастфуд,"Новосибирск , Большевистская , 137",круглосуточно,,До 700 рублей средний чек,
Burger King,Фастфуд,"Новосибирск , Покрышкина , 6",ресторан : пн - вс 8.00 – 23.00 ; экспресс - окно : пн - вс 6.00 – 4.00,,До 700 рублей средний чек,
Burger King,Фастфуд,"Новосибирск , Ватутина , 107 , ТЦ « Мега Новосибирск »",пн - вс 10.00 – 22.00,,До 700 рублей средний чек,
Burger King,Фастфуд,"Новосибирск , Троллейная , 130а , ТРЦ « Континент »",пн - вс 9.00 – 23.00,,До 700 рублей средний чек,
Burger King,Фастфуд,"Новосибирск , Фрунзе , 238 , ТРЦ « Сибирский молл »",пн - вс 10.00 – 23.00,,До 700 рублей средний чек,
Burger King,Фастфуд,"Новосибирск , Военная , 5 , ТРЦ « Аура »",пн - вс 10.00 – 22.00,,До 700 рублей средний чек,
Burger King,Фастфуд,"Новосибирск , Ленина , 84 , ТЦ « Апельсин »",пн - вс 8.00 – 1.00,,До 700 рублей средний чек,
Burger King,Фастфуд,"Новосибирск , Кутателадзе , 4 / 4",пн - вс 10.00 – 22.00,,До 700 рублей средний чек,
Burger King,Фастфуд,"Новосибирск , пл.Карла Маркса , 7 , МФК « Сан - сити »",пн - вс 10.00 – 22.00,,До 700 рублей средний чек,
Burger Records,Ресторан,"Новосибирск , Коммунистическая , 45 , 2 этаж","пн - чт , вс 12.00 – 0.00 , пт - сб 12.00 – 3.00",,До 700 рублей средний чек,
BYF 119,Кафе,"Новосибирск , Бориса Богаткова , 121",пн - вс 11.00 – 23.00,,До 700 рублей средний чек,
Cacao,Караоке,"Новосибирск , Октябрьская , 35",пн - вс 18.00 – 6.00,,700 – 1700 рублей средний чек,
Cacao,Караоке,"Новосибирск , Гоголя , 180",пн - вс 18.00 – 6.00,,700 – 1700 рублей средний чек,
Cacao,Караоке,"Новосибирск , Красный просп., 184",пн - вс 18.00 – 6.00,,700 – 1700 рублей средний чек,
Cacao,Караоке,"Новосибирск , просп.Карла Маркса , 47 / 2",пн - вс 18.00 – 6.00,,700 – 1700 рублей средний чек,
Capital of Siberia,Кофейня,"Новосибирск , Большевистская , 108","пн - пт 7.00 – 22.00 , сб - вс 8.00 – 22.00",,До 700 рублей средний чек,
Carbonara,Ресторан,"Новосибирск , Красный просп., 101 , ТРК « Ройял - парк »",пн - вс 10.00 – 22.00,,До 700 рублей средний чек,
Carl ' s Jr.,Фастфуд,"Новосибирск , Максима Горького , 53 / 1",пн - вс 10.00 – 0.00,,До 700 рублей средний чек,
Carte d ' or,Кондитерская,"Новосибирск , аэропорт Обь - 4",круглосуточно,,,
Ca va,Кофейня,"Новосибирск , Пирогова , 1",пн - пт 8.30 – 18.00,,,
Cernovar,"бар, паб","Новосибирск , Мичурина , 20","пн - чт , вс 12.00 – 1.00 , пт - сб 12.00 – 2.00",,700 – 1700 рублей средний чек,
Chingu,Ресторан,"Новосибирск , Красный просп., 101 , ТРК « Ройял - парк », 2 этаж",пн - вс 10.00 – 22.00,,700 – 1700 рублей средний чек,
Chingu,Ресторан,"Новосибирск , Вокзальная магистраль , 6а",пн - вс 11.00 – 23.00,,700 – 1700 рублей средний чек,
Choice,Банкетный зал,"Новосибирск , Октябрьская магистраль , 4 , БЦ « Ланта - центр »",по предварительной договоренности,,,
Cinnabon,Кондитерская,"Новосибирск , Фрунзе , 238 , ТРЦ « Сибирский молл », 1 этаж",пн - вс 10.00 – 22.00,,,
Cinnabon,Кондитерская,"Новосибирск , Ватутина , 107 , ТЦ « Мега Новосибирск »",пн - вс 10.00 – 22.00,,,
Cinnabon,Кондитерская,"Новосибирск , Красный просп., 101 , ТРК « Ройял - парк »",пн - вс 10.00 – 22.00,,,
Cinnabon,Кондитерская,"Новосибирск , Военная , 5 , ТРЦ « Аура »",пн - вс 10.00 – 22.00,,,
Cinnabon,Кондитерская,"Новосибирск , Морской просп., 16",пн - вс 8.00 – 21.00,,,
City,Кафе,"Новосибирск , Депутатская , 46",пн - пт 9.00 – 16.30,,До 700 рублей средний чек,
City Style Food,Столовая,"Новосибирск , Кутателадзе , 4г",пн - пт 10.00 – 19.00,,До 700 рублей средний чек,
Clever,Паб,"Новосибирск , Советская , 5 , БЦ « Кронос », 1 этаж","пн - чт 11.30 – 2.00 , пт 11.30 – 3.00 , сб 12.00 – 3.00 , вс 12.00 – 2.00",,700 – 1700 рублей средний чек,
Coffeecell,Кофейня,"Новосибирск , Серебренниковская , 23",пн - вс 10.00 – 22.00,,,
Coffee City,Кофейня,"Новосибирск , 1 - е Мочищенское ш., 20 , корп.3",пн - вс 7.00 – 0.00,,До 700 рублей средний чек,
Coffee Collective Brew Bar,Кофейня,"Новосибирск , Красный просп., 65",пн - вс 7.30 – 22.30,,До 700 рублей средний чек,
Coffee Collective Brew Bar,Кофейня,"Новосибирск , Морской просп., 22","пн - пт 7.30 – 22.30 , сб - вс 8.00 – 22.30",,До 700 рублей средний чек,
Coffee Collective Brew Bar,Кофейня,"Новосибирск , Ленина , 8","пн - пт 7.30 – 23.00 , сб - вс 8.00 – 23.00",,До 700 рублей средний чек,
Coffee Collective Brew Bar,Кофейня,"Новосибирск , Октябрьская магистраль , 4 , БЦ « Ланта - центр »",пн - пт 8.00 – 18.30,,До 700 рублей средний чек,
Coffee Dream,Кофейня,"Новосибирск , ​ Чаплыгина , 2 / 1",пн - вс 8.00 – 19.00,,,
Coffee Krok,Кофейня,"Новосибирск , Нарымская , 27",пн - сб 8.00 – 20.00,,,
Coffee Krok,Кофейня,"Новосибирск , Кошурникова , 29 / 4",пн - вс 8.00 – 19.00,,,
Coffee Krok,Кофейня,"Новосибирск , Максима Горького , 51",пн - вс 8.00 – 20.00,,,
Coffee Like,Кофейня,"Новосибирск , просп.Карла Маркса , 37 / 2 , ТЦ « Метромаркет »","пн - пт 8.00 – 22.00 , сб - вс 10.00 – 22.00",,,
Coffee & Lunches,Кафе,"Новосибирск , Широкая , 1а , офис 202",пн - пт 9.00 – 18.00,,До 700 рублей средний чек,
Coffee Moose,Кофейня,"Новосибирск , Залесского , 4 , корп.4","пн , ср , сб 8.00 – 19.00 , вт , чт - пт 8.00 – 17.00",,,
Coffee Panda,Кофейня,"Новосибирск , пл.Карла Маркса , 2",пн - вс 10.00 – 21.00,,,
Coffee Plus,Кофейня,"Новосибирск , ​ Вокзальная магистраль , 1 , корп.2",пн - вс 8.30 – 20.30,,,
Coffee Rock,Кофейня,"Новосибирск , Зыряновская , 57","пн - сб 7.00 – 21.00 , вс 8.00 – 20.00",,,
Coffee Time,Кофейня,"Новосибирск , Ипподромская , 16 / 1",пн - вс 10.00 – 21.00,,,
Coffee Trend,Кофейня,"Новосибирск , Вяземская , 3","пн - сб 8.00 – 21.00 , вс 10.00 – 20.00",,,
Coffee Unites People,Кофейня,"Новосибирск , Гнесиных , 10 / 1","пн - пт 7.30 – 19.00 , сб - вс 9.00 – 19.00",,,
Coffee Way,Кофейня,"Новосибирск , ​ Мичурина , 25 / 1",пн - вс 8.00 – 21.00,,,
Co Mein,Кафе,"Новосибирск , Ильича , 21","пн - чт , вс 12.00 – 2.00 , пт - сб 12.00 – 3.00",,700 – 1700 рублей средний чек,
Comfort Inn,Кафе,"Новосибирск , Богдана Хмельницкого , 96 , отель Comfort Inn",кафе : пн - вс 7.00 – 21.00 ; бар : круглосуточно,,До 700 рублей средний чек,
Comics Coffee,Кофейня,"Новосибирск , Никитина , 20",пн - пт 8.00 – 17.00,,,
Confessa,Ресторан,"Новосибирск , ​ Красный просп., 81","пн - чт , вс 11.00 – 0.00 , пт - сб 11.00 – 2.00",,700 – 1700 рублей средний чек,
Cook & Quiche,Бар,"Новосибирск , Иванова , 29","пн - чт , вс 12.00 – 0.00 , пт - сб 12.00 – 1.00",,700 – 1700 рублей средний чек,
Cowo Foodworking,Кафе,"Новосибирск , Ленина , 12 , коворкинг Cowo",пн - вс 8.00 – 0.00,,До 700 рублей средний чек,
Crystal Hall,Банкетный зал,"Новосибирск , Мусы Джалиля , 14",по предварительной договоренности,,,
Cubby,Бар,"Новосибирск , Коммунистическая , 35","пн - чт 12.00 – 23.00 , пт - сб 12.00 – 0.00",,700 – 1700 рублей средний чек,
Dimsum Bao,Ресторан,"Новосибирск , Ленина , 3 , гостиница « Центральная »",пн - вс 11.00 – 23.00,,До 700 рублей средний чек,
Dining Hall,Кафе,"Новосибирск , Крылова , 36 , БЦ « На Крылова »",пн - пт 8.30 – 17.00,,До 700 рублей средний чек,
Dining Room,Кафе,"Новосибирск , Блюхера , 40",пн - пт 12.00 – 15.00,,До 700 рублей средний чек,
Dining Room,Кафе,"Новосибирск , Советская , 64 , БЦ « Советский », офис 516",пн - пт 10.00 – 17.00,,До 700 рублей средний чек,
Dining Room,Кафе,"Новосибирск , Красный просп., 86 / 2",пн - пт 10.00 – 18.00,,До 700 рублей средний чек,
Dose Of Coffee,Кофейня,"Новосибирск , Кирова , 108 , корп.3а","пн - пт 8.00 – 21.00 , сб - вс 9.00 – 21.00",,,
Doski,Бар,"Новосибирск , просп.Карла Маркса , 37 / 2","пн - чт , вс 12.00 – 3.00 , пт - сб 12.00 – 5.00",,До 700 рублей средний чек,
Doski,Бар,"Новосибирск , Вокзальная магистраль , 16","пн - чт , вс 12.00 – 3.00 , пт - сб 12.00 – 6.00",,До 700 рублей средний чек,
Dosstor,Ресторан,"Новосибирск , Красноармейская , 97",пн - вс 11.00 – 000,,700 – 1700 рублей средний чек,
Double Dog Brew Pub,Бар,"Новосибирск , Мусы Джалиля , 11","пн - чт , вс 12.00 – 0.00 , пт - сб 12.00 – 2.00",,До 700 рублей средний чек,
Double Point,Кофейня,"Новосибирск , Советская , 21","пн - пт 8.00 – 22.00 , сб - вс 10.00 – 22.00",,До 700 рублей средний чек,
Dozor I Bar,Ресторан,"Новосибирск , просп.Карла Маркса , 28 / 1","пн - чт 12.00 – 2.00 , пт 12.00 – 3.00 , сб - вс 14.00 – 3.00",,,
Drovamuka,Ресторан,"Новосибирск , Красный просп., 37 , 1 этаж",пн - вс 11.00 – 0.00,,700 – 1700 рублей средний чек,
Drovamuka,Ресторан,"Новосибирск , пл.Карла Маркса , 1 / 1",пн - вс 11.00 – 0.00,,700 – 1700 рублей средний чек,
Du Paris,Банкетный зал,"Новосибирск , Северный пр., 33",по предварительной договоренности,,,
Eclair Café,Кофейня,"Новосибирск , Ядринцевская , 21","пн - пт 7.30 – 0.00 , сб - вс 8.30 – 0.00",,700 – 1700 рублей средний чек,
